route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
"1-S3-W-j24-1","TA+esq00","410.TA.1-S3-W-j24-1.150.H","1-S3-W-j24-1.150.H","Wiener Neustadt Hauptbahnhof","S 29549","0",""
"1-S3-W-j24-1","TA+esq00","411.TA.1-S3-W-j24-1.150.H","1-S3-W-j24-1.150.H","Wiener Neustadt Hauptbahnhof","S 29509","0",""
"1-S3-W-j24-1","TA+qag10","412.TA.1-S3-W-j24-1.150.H","1-S3-W-j24-1.150.H","Wiener Neustadt Hauptbahnhof","S 29669","0",""
"1-S3-W-j24-1","TA+6bg10","413.TA.1-S3-W-j24-1.150.H","1-S3-W-j24-1.150.H","Wiener Neustadt Hauptbahnhof","S 29829","0",""
"1-S3-W-j24-1","TA+i8z10","414.TA.1-S3-W-j24-1.150.H","1-S3-W-j24-1.150.H","Wiener Neustadt Hauptbahnhof","S 29709","0",""
"1-S3-W-j24-1","TA+h8120","415.TA.1-S3-W-j24-1.151.H","1-S3-W-j24-1.151.H","Wiener Neustadt Hauptbahnhof","S 29869","0",""
"1-S3-W-j24-1","TA+uoj10","416.TA.1-S3-W-j24-1.152.H","1-S3-W-j24-1.152.H","Wiener Neustadt Hauptbahnhof","S 29869","0",""
"1-S3-W-j24-1","TA+u4420","417.TA.1-S3-W-j24-1.153.H","1-S3-W-j24-1.153.H","Wiener Neustadt Hauptbahnhof","S 29911","0",""
"1-S3-W-j24-1","TA+6bg10","418.TA.1-S3-W-j24-1.153.H","1-S3-W-j24-1.153.H","Wiener Neustadt Hauptbahnhof","S 29269","0",""
"1-S3-W-j24-1","TA+uoj10","419.TA.1-S3-W-j24-1.154.H","1-S3-W-j24-1.154.H","Wiener Neustadt Hauptbahnhof","S 29469","0",""
"1-S3-W-j24-1","TA+fno00","42.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19404","1",""
"1-S3-W-j24-1","TA+esq00","420.TA.1-S3-W-j24-1.155.H","1-S3-W-j24-1.155.H","Wiener Neustadt Hauptbahnhof","S 29389","0",""
"1-S3-W-j24-1","TA+i3520","421.TA.1-S3-W-j24-1.155.H","1-S3-W-j24-1.155.H","Wiener Neustadt Hauptbahnhof","S 29469","0",""
"1-S3-W-j24-1","TA+esq00","422.TA.1-S3-W-j24-1.155.H","1-S3-W-j24-1.155.H","Wiener Neustadt Hauptbahnhof","S 29349","0",""
"1-S3-W-j24-1","TA+xh620","423.TA.1-S3-W-j24-1.155.H","1-S3-W-j24-1.155.H","Wiener Neustadt Hauptbahnhof","S 29911","0",""
"1-S3-W-j24-1","TA+bd420","424.TA.1-S3-W-j24-1.155.H","1-S3-W-j24-1.155.H","Wiener Neustadt Hauptbahnhof","S 29911","0",""
"1-S3-W-j24-1","TA+esq00","425.TA.1-S3-W-j24-1.155.H","1-S3-W-j24-1.155.H","Wiener Neustadt Hauptbahnhof","S 29309","0",""
"1-S3-W-j24-1","TA+i8z10","426.TA.1-S3-W-j24-1.155.H","1-S3-W-j24-1.155.H","Wiener Neustadt Hauptbahnhof","S 29269","0",""
"1-S3-W-j24-1","TA+ig320","427.TA.1-S3-W-j24-1.156.H","1-S3-W-j24-1.156.H","Wiener Neustadt Hauptbahnhof","S 29909","0",""
"1-S3-W-j24-1","TA+fno00","43.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19454","1",""
"1-S3-W-j24-1","TA+fno00","44.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19450","1",""
"1-S3-W-j24-1","TA+fno00","45.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19462","1",""
"1-S3-W-j24-1","TA+fno00","46.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19412","1",""
"1-S3-W-j24-1","TA+h2520","47.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19478","1",""
"1-S3-W-j24-1","TA+fno00","48.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19446","1",""
"1-S3-W-j24-1","TA+fno00","49.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19476","1",""
"1-S3-W-j24-1","TA+i2520","5.TA.1-S3-W-j24-1.2.R","1-S3-W-j24-1.2.R","Wien Praterstern","S 19478","1",""
"1-S3-W-j24-1","TA+fno00","50.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19460","1",""
"1-S3-W-j24-1","TA+fno00","51.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19444","1",""
